term,week,day of week,class,time spent (min)
sp24,11,Monday,MATH 257,60.0
sp24,11,Monday,STAT 207,0.0
sp24,11,Monday,ASTR 210,165.0
sp24,11,Monday,GEOL 107,0.0
sp24,11,Monday,ANTH 103,0.0
sp24,11,Tuesday,STAT 207,180.0
sp24,11,Tuesday,GEOL 107,45.0
sp24,11,Tuesday,MATH 257,0.0
sp24,11,Tuesday,ANTH 103,15.0
sp24,11,Tuesday,ASTR 210,60.0
sp24,11,Wednesday,MATH 257,135.0
sp24,11,Wednesday,ANTH 103,45.0
sp24,11,Wednesday,GEOL 107,0.0
sp24,11,Wednesday,ASTR 210,75.0
sp24,11,Wednesday,STAT 207,60.0
sp24,11,Thursday,ASTR 210,0.0
sp24,11,Thursday,GEOL 107,0.0
sp24,11,Thursday,STAT 207,0.0
sp24,11,Thursday,MATH 257,0.0
sp24,11,Thursday,ANTH 103,120.0
sp24,11,Friday,ASTR 210,0.0
sp24,11,Friday,MATH 257,0.0
sp24,11,Friday,ANTH 103,45.0
sp24,11,Friday,STAT 207,60.0
sp24,11,Friday,GEOL 107,0.0
sp24,11,Saturday,ANTH 103,0.0
sp24,11,Saturday,MATH 257,0.0
sp24,11,Saturday,ASTR 210,0.0
sp24,11,Saturday,STAT 207,90.0
sp24,11,Saturday,GEOL 107,0.0
sp24,11,Sunday,ANTH 103,0.0
sp24,11,Sunday,GEOL 107,0.0
